Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,221800,-221800
3,69707,28338,326400,-298062
4,173812,70680,369000,-298320
5,271802,114809,443600,-328791
6,372849,143543,484200,-340657
7,471719,129145,531827,-402682
8,571158,125576,573718,-448142
9,668905,139905,615695,-475790
10,1429549,572724,686295,-113571
11,1934721,832479,736028,96451
12,3906440,1714662,793492,921170
13,4745909,2222979,835555,1387424
14,5156529,2439882,881156,1558726
15,5215860,2485338,958886,1526452
16,5373963,2499550,1000422,1499128
17,5482920,2467158,1106421,1360737
18,5605240,2512835,1157857,1354978
19,6585077,2835192,1215418,1619774
20,6777222,2891784,1295346,1596438
21,7483562,3080538,1343430,1737108
22,8058260,3330049,1396051,1933998
23,8492389,3509680,1443048,2066632
24,8643256,3600228,1516220,2084008
25,8827147,3680718,1606392,2074326
26,9045855,3795991,1733664,2062327
27,9560087,3965996,1797054,2168942
28,9763211,4098151,1864703,2233448
29,9960885,4223763,1932065,2291698
30,10735186,4492086,2026909,2465177
31,10960005,4610186,2093359,2516827
32,11156237,4722797,2159115,2563682
33,11351092,4840827,2228947,2611880
34,11636072,4932733,2296779,2635954
35,11836564,5020127,2401081,2619046
36,12852246,5337482,2491188,2846294
37,13917712,5970020,2559486,3410534
38,14898345,6480305,2632159,3848146
39,15844297,6963922,2698135,4265787
40,16074789,7062066,2804111,4257955
41,16942876,7336042,2872578,4463464
42,17147314,7432602,2944669,4487933
43,17882263,7709685,3014224,4695461
44,18079882,7821524,3087240,4734284
45,18769992,7995879,3184256,4811623
46,19026275,8162234,3255344,4906890
47,19227252,8248163,3328508,4919655
48,20042268,8540464,3399672,5140792
49,20634606,8746448,3466836,5279612
50,20763898,8820905,3568191,5252714
51,20882278,8889789,3636538,5253251
52,21010197,8953622,3706710,5246912
53,21167655,9013065,3776966,5236099
54,21752157,9226413,3847222,5379191
55,22690436,9751310,3947478,5803832
56,23421999,10174187,4017810,6156377
57,24048510,10611556,4090222,6521334
58,24610004,10998913,4158634,6840279
59,24718667,11075991,4227046,6848945
60,24846697,11167855,4331458,6836397
61,24968614,11255521,4400662,6854859
62,25645134,11568258,4470130,7098128
63,25768369,11658806,4531686,7127120
64,26061882,11798671,4599242,7199429
65,26187512,11887928,4708798,7179130
66,26314910,11982119,4794434,7187685
67,26687246,12189514,4876154,7313360
68,26883216,12337601,4957874,7379727
69,27180004,12483633,5037681,7445952
70,27722138,12721881,5131401,7590480
71,27973765,12923799,5195949,7727850
72,28329166,13105145,5271848,7833297
73,28532984,13254140,5338866,7915274
74,28925477,13590563,5399917,8190646
75,29948385,13898242,5510233,8388009
76,30184948,14108524,5588633,8519891
77,30418123,14325858,5671121,8654737
78,31343889,15047611,5747636,9299975
79,33049276,15743270,5824124,9919146
80,33993225,16420866,5934612,10486254
81,34821274,16951937,6014000,10937937
82,35755367,17594715,6091688,11503027
83,37521939,17692224,6198476,11493748
84,37761988,17844076,6278264,11565812
85,37991069,17988268,6387557,11600711
86,38224006,18133828,6474723,11659105
87,38449860,18213590,6555766,11657824
88,38674388,18345482,6666665,11678817
89,39792171,18730945,6779306,11951639
90,40021437,18875595,6920989,11954606
